discipline,year,papers,oa_rate,open_material_rate,github_rate,zenodo_rate,osf_rate,dataset_rate,preregistered_rate,preprint_rate,high_impact_rate,non_oa_open_signal_rate,open_science_any_rate,mean_open_science_score,mean_citations,composite_index,hi_papers,hi_oa_rate,hi_open_material_rate,hi_github_rate,hi_dataset_rate,hi_preregistered_rate,hi_preprint_rate
cardiology,2015,13780,0.4358490566037736,0.014296081277213353,0.0,0.001451378809869376,0.0,0.012844702467343977,0.0,0.0,0.167489114658926,0.014296081277213353,0.4358490566037736,0.046456941579103635,26.4177793904209,9.33,2308,0.6135181975736569,0.004332755632582322,0.0,0.004332755632582322,0.0,0.0
cardiology,2016,14648,0.4732386673948662,0.030652648825778263,0.0,0.0014336428181321683,6.826870562534134e-05,0.029150737302020755,0.0,0.0,0.16302566903331514,0.030652648825778263,0.4733069361004915,0.048082737931788556,25.620221190606227,10.81,2388,0.669179229480737,0.0046063651591289785,0.0,0.0037688442211055275,0.0,0.0
cardiology,2017,15021,0.5018973437187937,0.027161973237467545,6.657346381732241e-05,0.0024632181612409296,0.0,0.024698755076226615,0.0,0.0,0.15911057852340058,0.027161973237467545,0.5018973437187937,0.04836280515007708,26.024565608148592,11.21,2390,0.6527196652719666,0.0029288702928870294,0.0,0.0020920502092050207,0.0,0.0
cardiology,2018,15776,0.5079234279918864,0.013564908722109534,0.0,0.002789046653144016,0.0,0.010775862068965518,0.0,0.0,0.15618661257606492,0.013564908722109534,0.5080502028397565,0.04810885702151116,24.54855476673428,10.71,2464,0.6875,0.00487012987012987,0.0,0.00487012987012987,0.0,0.0
cardiology,2019,16829,0.522253253312734,0.013310357121635273,5.942123715015747e-05,0.002673955671757086,0.0001782637114504724,0.010398716501277556,0.0,0.0,0.13821379761126626,0.013310357121635273,0.5224315170241844,0.049595344295806046,22.058886446015805,10.99,2326,0.7308684436801376,0.0034393809114359416,0.0,0.0034393809114359416,0.0,0.0
cardiology,2020,19359,0.6064362828658505,0.010847667751433442,0.0001549666821633349,0.004958933829226716,0.00010331112144222325,0.005630456118601168,0.0,0.0,0.1360090913786869,0.010847667751433442,0.6064879384265717,0.047457991779510975,21.518725140761404,12.51,2633,0.7599696164071401,0.005317128750474744,0.0,0.004937333839726547,0.0,0.0
cardiology,2021,18944,0.6426309121621622,0.018633868243243243,5.2787162162162165e-05,0.005173141891891892,0.00021114864864864866,0.013355152027027027,0.0,0.0,0.1102195945945946,0.018633868243243243,0.6427364864864865,0.0490566679350696,16.68623310810811,13.59,2088,0.810823754789272,0.0028735632183908046,0.0,0.0028735632183908046,0.0,0.0
cardiology,2022,18532,0.6721346859486294,0.018022879343837686,0.0002158428663932657,0.007770343190157565,0.00010792143319663285,0.010036693287286855,0.0,0.0,0.08914310382041873,0.018022879343837686,0.6721886466652277,0.050717776483394685,12.946632851284265,14.1,1652,0.8220338983050848,0.003026634382566586,0.0,0.003026634382566586,0.0,0.0
cardiology,2023,20100,0.6878109452736318,0.014427860696517412,0.0003482587064676617,0.009203980099502488,0.00044776119402985075,0.004477611940298508,0.0,0.0,0.05781094527363184,0.014427860696517412,0.687910447761194,0.05324958278897169,8.890945273631841,14.21,1162,0.8261617900172117,0.0025817555938037868,0.0,0.0008605851979345956,0.0,0.0
cardiology,2024,16577,0.7063401097906739,0.0032575254871207095,0.00048259636846232734,0.001447789105386982,0.00024129818423116367,0.0010858418290402366,0.0,0.0,0.03673764854919467,0.0032575254871207095,0.7064004343367316,0.05327769513204627,7.025517282982445,14.23,609,0.8357963875205254,0.0,0.0,0.0,0.0,0.0
