discipline,year,papers,oa_rate,open_material_rate,github_rate,zenodo_rate,osf_rate,dataset_rate,preregistered_rate,preprint_rate,high_impact_rate,non_oa_open_signal_rate,open_science_any_rate,mean_open_science_score,mean_citations
cardiology,2015,246,0.5934959349593496,0.008130081300813009,0.0,0.0,0.0,0.008130081300813009,0.0,0.0,0.14634146341463414,0.008130081300813009,0.5934959349593496,0.03230573278766667,662.390243902439
cardiology,2016,245,0.6816326530612244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19183673469387755,0.0,0.6816326530612244,0.03443776319447755,770.5469387755102
cardiology,2017,244,0.6680327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19262295081967212,0.0,0.6680327868852459,0.037474213579098366,729.1065573770492
cardiology,2018,245,0.6979591836734694,0.004081632653061225,0.0,0.0,0.0,0.004081632653061225,0.0,0.0,0.1673469387755102,0.004081632653061225,0.6979591836734694,0.03275716154767347,643.7673469387755
cardiology,2019,237,0.7426160337552743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14345991561181434,0.0,0.7426160337552743,0.03627390697063291,672.1856540084389
cardiology,2020,243,0.7654320987654321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17695473251028807,0.0,0.7654320987654321,0.029916530710020577,650.5061728395061
cardiology,2021,239,0.7782426778242678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09623430962343096,0.0,0.7782426778242678,0.0354469827907113,532.3138075313808
cardiology,2022,243,0.7695473251028807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06995884773662552,0.0,0.7695473251028807,0.04071477416946502,332.4115226337449
cardiology,2023,241,0.7759336099585062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03734439834024896,0.0,0.7759336099585062,0.04202509358796681,235.53526970954357
cardiology,2024,248,0.7620967741935484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.7620967741935484,0.03797785149681452,136.1008064516129
cardiology,2025,247,0.7530364372469636,0.004048582995951417,0.0,0.0,0.0,0.004048582995951417,0.0,0.0,0.0,0.004048582995951417,0.7530364372469636,0.04122079432587045,41.67206477732793
cardiology,2026,246,0.6056910569105691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6056910569105691,0.03582438526760163,3.597560975609756
neurology,2015,238,0.6008403361344538,0.004201680672268907,0.0,0.0,0.0,0.004201680672268907,0.0,0.0,0.22268907563025211,0.004201680672268907,0.6008403361344538,0.009188916789957983,286.0966386554622
neurology,2016,235,0.5829787234042553,0.00425531914893617,0.0,0.00425531914893617,0.0,0.0,0.0,0.0,0.14893617021276595,0.00425531914893617,0.5829787234042553,0.009467843163787234,288.97446808510637
neurology,2017,242,0.6033057851239669,0.004132231404958678,0.0,0.0,0.0,0.004132231404958678,0.0,0.0,0.19008264462809918,0.004132231404958678,0.6033057851239669,0.014565222871818181,333.9586776859504
neurology,2018,233,0.6609442060085837,0.004291845493562232,0.0,0.004291845493562232,0.0,0.0,0.0,0.0,0.18454935622317598,0.004291845493562232,0.6609442060085837,0.013870897525751073,303.9613733905579
neurology,2019,233,0.6866952789699571,0.004291845493562232,0.0,0.0,0.0,0.004291845493562232,0.0,0.0,0.15021459227467812,0.004291845493562232,0.6866952789699571,0.013017032048755364,275.09871244635195
neurology,2020,240,0.8208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.0,0.8208333333333333,0.010077278349583333,283.12916666666666
neurology,2021,237,0.7848101265822784,0.004219409282700422,0.0,0.0,0.0,0.004219409282700422,0.0,0.0,0.06751054852320675,0.004219409282700422,0.7848101265822784,0.013897352561898734,178.16033755274262
neurology,2022,236,0.8135593220338984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050847457627118,0.0,0.8135593220338984,0.016243842445084748,158.40677966101694
neurology,2023,230,0.8043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.8043478260869565,0.020044235438847827,82.25217391304348
neurology,2024,226,0.8008849557522124,0.004424778761061947,0.0,0.0,0.0,0.004424778761061947,0.0,0.0,0.008849557522123894,0.004424778761061947,0.8008849557522124,0.02148382968924779,52.24778761061947
neurology,2025,234,0.7948717948717948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7948717948717948,0.024086166253528635,24.94017094017094
neurology,2026,233,0.5879828326180258,0.017167381974248927,0.004291845493562232,0.012875536480686695,0.0,0.0,0.0,0.0,0.0,0.017167381974248927,0.5879828326180258,0.01686788112391416,2.107296137339056
neuroscience,2015,248,0.6814516129032258,0.008064516129032258,0.004032258064516129,0.0,0.0,0.004032258064516129,0.0,0.0,0.1975806451612903,0.008064516129032258,0.6814516129032258,0.0451793397,975.3064516129032
neuroscience,2016,246,0.6300813008130082,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.21544715447154472,0.008130081300813009,0.6300813008130082,0.0439141797,1084.8821138211383
neuroscience,2017,246,0.6422764227642277,0.008130081300813009,0.0040650406504065045,0.0,0.0,0.0040650406504065045,0.0,0.0,0.24796747967479674,0.008130081300813009,0.6422764227642277,0.04545620196443089,1379.321138211382
neuroscience,2018,249,0.6746987951807228,0.020080321285140562,0.01606425702811245,0.004016064257028112,0.0,0.0,0.0,0.0,0.20883534136546184,0.020080321285140562,0.6867469879518072,0.04150860651674699,930.6224899598394
neuroscience,2019,247,0.6923076923076923,0.024291497975708502,0.012145748987854251,0.0,0.004048582995951417,0.008097165991902834,0.0,0.0,0.12955465587044535,0.024291497975708502,0.6963562753036437,0.03991949154680162,677.1862348178138
neuroscience,2020,250,0.776,0.02,0.02,0.004,0.0,0.0,0.0,0.0,0.096,0.02,0.788,0.046379609994120004,658.0
neuroscience,2021,248,0.7620967741935484,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.004032258064516129,0.7620967741935484,0.054960638830604834,410.0
neuroscience,2022,248,0.7338709677419355,0.024193548387096774,0.016129032258064516,0.0,0.004032258064516129,0.004032258064516129,0.0,0.0,0.05241935483870968,0.024193548387096774,0.7419354838709677,0.054523870515725804,361.6653225806452
neuroscience,2023,248,0.7620967741935484,0.020161290322580645,0.020161290322580645,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.020161290322580645,0.7741935483870968,0.05115767947274193,217.4798387096774
neuroscience,2024,249,0.7630522088353414,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.7670682730923695,0.05008019145269076,155.27309236947792
neuroscience,2025,241,0.7261410788381742,0.004149377593360996,0.004149377593360996,0.0,0.0,0.0,0.0,0.0,0.0,0.004149377593360996,0.7302904564315352,0.04194848751721992,52.643153526970956
neuroscience,2026,247,0.7530364372469636,0.10121457489878542,0.048582995951417005,0.06882591093117409,0.0,0.004048582995951417,0.0,0.0,0.0,0.10121457489878542,0.7530364372469636,0.053318529578947366,7.522267206477733
stroke,2015,286,0.5559440559440559,0.0034965034965034965,0.0,0.0034965034965034965,0.0,0.0,0.0,0.0,0.25874125874125875,0.0034965034965034965,0.5559440559440559,0.010596186880751748,278.06643356643355
stroke,2016,285,0.5719298245614035,0.0035087719298245615,0.0,0.0,0.0,0.0035087719298245615,0.0,0.0,0.23157894736842105,0.0035087719298245615,0.5719298245614035,0.007942456677754386,244.68421052631578
