discipline,year,papers,oa_rate,open_material_rate,github_rate,zenodo_rate,osf_rate,dataset_rate,preregistered_rate,preprint_rate,high_impact_rate,non_oa_open_signal_rate,open_science_any_rate,mean_open_science_score,mean_citations
neurology,2022,236,0.8135593220338984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08050847457627118,0.0,0.8135593220338984,0.016243808993601696,158.29661016949152
neurology,2023,230,0.8043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008695652173913044,0.0,0.8043478260869565,0.0200442056805,82.14782608695653
neurology,2024,226,0.8008849557522124,0.004424778761061947,0.0,0.0,0.0,0.004424778761061947,0.0,0.0,0.008849557522123894,0.004424778761061947,0.8008849557522124,0.021483805513407082,52.11504424778761
neurology,2025,234,0.7948717948717948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7948717948717948,0.024086136650904703,24.863247863247864
neurology,2026,233,0.592274678111588,0.02145922746781116,0.004291845493562232,0.017167381974248927,0.0,0.0,0.0,0.0,0.0,0.02145922746781116,0.592274678111588,0.016218549608755364,2.07725321888412
neuroscience,2015,248,0.6814516129032258,0.008064516129032258,0.004032258064516129,0.0,0.0,0.004032258064516129,0.0,0.0,0.1975806451612903,0.008064516129032258,0.6814516129032258,0.0451793397,975.0604838709677
neuroscience,2016,246,0.6300813008130082,0.008130081300813009,0.008130081300813009,0.0,0.0,0.0,0.0,0.0,0.21544715447154472,0.008130081300813009,0.6300813008130082,0.0439141797,1084.5528455284552
neuroscience,2017,246,0.6382113821138211,0.008130081300813009,0.0040650406504065045,0.0,0.0,0.0040650406504065045,0.0,0.0,0.24796747967479674,0.008130081300813009,0.6382113821138211,0.045368025988821135,1378.8821138211383
neuroscience,2018,249,0.6746987951807228,0.020080321285140562,0.01606425702811245,0.004016064257028112,0.0,0.0,0.0,0.0,0.20883534136546184,0.020080321285140562,0.6867469879518072,0.04153563423160642,933.7951807228916
neuroscience,2019,247,0.6923076923076923,0.024291497975708502,0.012145748987854251,0.0,0.004048582995951417,0.008097165991902834,0.0,0.0,0.12955465587044535,0.024291497975708502,0.6963562753036437,0.039325196052874496,677.919028340081
neuroscience,2020,250,0.772,0.016,0.016,0.004,0.0,0.0,0.0,0.0,0.096,0.016,0.784,0.04646227047412,657.08
neuroscience,2021,248,0.7620967741935484,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.04032258064516129,0.004032258064516129,0.7620967741935484,0.05515302358866935,409.63709677419354
neuroscience,2022,248,0.7338709677419355,0.024193548387096774,0.016129032258064516,0.0,0.004032258064516129,0.004032258064516129,0.0,0.0,0.05241935483870968,0.024193548387096774,0.7419354838709677,0.054523870515725804,361.3346774193548
neuroscience,2023,248,0.7620967741935484,0.020161290322580645,0.020161290322580645,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.020161290322580645,0.7741935483870968,0.05126671973887097,217.13306451612902
neuroscience,2024,249,0.7630522088353414,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.0,0.012048192771084338,0.012048192771084338,0.7670682730923695,0.049690475930602405,155.09638554216866
neuroscience,2025,241,0.7261410788381742,0.004149377593360996,0.004149377593360996,0.0,0.0,0.0,0.0,0.0,0.0,0.004149377593360996,0.7302904564315352,0.041828510006846474,52.45643153526971
neuroscience,2026,247,0.7449392712550608,0.10121457489878542,0.044534412955465584,0.0728744939271255,0.0,0.004048582995951417,0.0,0.0,0.0,0.10121457489878542,0.7449392712550608,0.05336000626437247,7.433198380566802
stroke,2015,286,0.5559440559440559,0.0034965034965034965,0.0,0.0034965034965034965,0.0,0.0,0.0,0.0,0.26223776223776224,0.0034965034965034965,0.5559440559440559,0.010765499188706293,277.84615384615387
stroke,2016,285,0.5719298245614035,0.0035087719298245615,0.0,0.0,0.0,0.0035087719298245615,0.0,0.0,0.23157894736842105,0.0035087719298245615,0.5719298245614035,0.007942403608982457,244.62105263157895
stroke,2017,281,0.5907473309608541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2597864768683274,0.0,0.5907473309608541,0.010390777060569395,233.55160142348754
stroke,2018,283,0.6501766784452296,0.01060070671378092,0.0,0.0,0.0,0.01060070671378092,0.0,0.0,0.26501766784452296,0.01060070671378092,0.6501766784452296,0.012668630841190813,211.4310954063604
stroke,2019,284,0.6654929577464789,0.0035211267605633804,0.0,0.0,0.0,0.0035211267605633804,0.0,0.0,0.2147887323943662,0.0035211267605633804,0.6654929577464789,0.015020336099295773,206.9894366197183
stroke,2020,285,0.6912280701754386,0.0035087719298245615,0.0,0.0,0.0,0.0035087719298245615,0.0,0.0,0.21052631578947367,0.0035087719298245615,0.6912280701754386,0.010597200739368422,178.70526315789473
stroke,2021,273,0.7362637362637363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20146520146520147,0.0,0.7362637362637363,0.018977433721172162,167.3150183150183
stroke,2022,280,0.775,0.010714285714285714,0.0,0.0,0.0,0.010714285714285714,0.0,0.0,0.11428571428571428,0.010714285714285714,0.7785714285714286,0.012946186740571429,113.78571428571429
stroke,2023,277,0.7689530685920578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09747292418772563,0.0,0.7689530685920578,0.02093054647635379,86.93501805054152
stroke,2024,282,0.7695035460992907,0.0035460992907801418,0.0,0.0,0.0,0.0035460992907801418,0.0,0.0,0.04609929078014184,0.0035460992907801418,0.7695035460992907,0.02527237174570922,52.851063829787236
stroke,2025,281,0.7117437722419929,0.014234875444839857,0.0,0.010676156583629894,0.0,0.0035587188612099642,0.0,0.0,0.03202846975088968,0.014234875444839857,0.7117437722419929,0.016663524323131673,14.483985765124554
stroke,2026,288,0.7326388888888888,0.0763888888888889,0.0,0.059027777777777776,0.0,0.017361111111111112,0.0,0.0,0.04861111111111111,0.0763888888888889,0.7326388888888888,0.011525732404201388,1.2708333333333333
